; Europa-Switzerland-Blitzer: Blitzer-Rotlicht-60_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.111916,46.196651,"2460|1213 Genf|Route Du Pont-Butin"
7.623950,47.529940,"1754|4132 Muttenz|Münchensteinerstraße $0x85858f4d$"
7.687040,47.528960,"2466|4133 Pratteln|Salinenstraße $0x868c8855$"
7.687170,47.528270,"2467|4133 Pratteln|Salinenstraße $0x85878252$"
8.383255,47.412571,"2468|8957 Spreitenbach|Landstraße"
8.437630,47.455916,"2459|8107 Buchs|Furttalstraße"
8.447340,47.397430,"2469|8952 Schlieren|Badenerstraße $0x8d879755$"
8.447970,47.402270,"2470|8952 Schlieren|Bernstraße $0x8881914f$"
8.472522,47.393779,"19439|8048 Zürich|Badenerstraße $0x878e8c55$"
8.491600,47.427100,"2471|8046 Zürich|Wehntalerstraße $0x8183819250$"
8.555090,47.315280,"2853|8803 Rüschlikon|Seestraße $0x888c8957$"
8.579122,47.319359,"2472|8700 Küsnacht|Seestraße"
8.600619,47.409610,"2473|8304 Wallisellen|Neue Winterthurerstraße"
8.601631,47.407279,"2474|8304 Wallisellen|Neugutstraße"
8.616622,47.335301,"2475|8126 Zumikon|Forchstraße"
8.834030,47.300850,"2477|8340 Hinwil|Winterthurerstraße"
8.834037,47.300391,"2476|8340 Hinwil|Winterthurerstraße"
9.425155,47.519002,"1764|9320 Arbon|Romanshornerstraße $0x8a89929b59$"
